Jahr,ID,Kategorie,Wert_Euro,Relativer_Wert_Prozent
2016,1102,Subsidies Pension Insurance,93271172000,29.432367308299145
2016,1501,Subsidies Statutory Health Insurance,14000080000,4.417822656989586
2016,1502,Subsidies Long-term Care Insurance,49305000,0.015558535815714735
2016,0,Total Federal Budget,316900000000,100.0
2016,99,Other Federal Budget,107319465000,33.86540391290628
2017,14,Ministry of Defense,37004839000,11.244253722272864
2017,17,Ministry of Education & Family,9523221000,2.8937164995442117
2017,32,Federal Debt Service,19991040000,6.074457611668186
2017,97,Other Health Expenses,599820000,0.18226071103008204
2017,98,Other Labour & Social Expenses,39330170000,11.950826496505622
2017,1102,Subsidies Pension Insurance,98252249000,29.85483105439076
2017,1501,Subsidies Statutory Health Insurance,14500280000,4.406040717107262
2017,1502,Subsidies Long-term Care Insurance,59127000,0.017966271649954423
2017,0,Total Federal Budget,329100000000,100.0
2017,99,Other Federal Budget,109839254000,33.375646915831055
2018,14,Ministry of Defense,38519574000,11.21058614668219
2018,17,Ministry of Education & Family,10226146000,2.9761775320139696
2018,32,Federal Debt Service,19414052000,5.650189755529686
2018,97,Other Health Expenses,639066000,0.18599126891734574
2018,98,Other Labour & Social Expenses,39037233000,11.361243597206053
2018,1102,Subsidies Pension Insurance,100142526000,29.145089057043073
2018,1501,Subsidies Statutory Health Insurance,14500280000,4.220104772991851
2018,1502,Subsidies Long-term Care Insurance,67788000,0.019728754365541327
2018,0,Total Federal Budget,343600000000,100.0
2018,99,Other Federal Budget,121053335000,35.23088911525029
2019,14,Ministry of Defense,43227814000,12.129016273849608
2019,17,Ministry of Education & Family,10448322000,2.931627946127946
2019,32,Federal Debt Service,18380128000,5.157162738496072
2019,97,Other Health Expenses,727282000,0.2040634118967452
2019,98,Other Labour & Social Expenses,39931302000,11.204069023569023
2019,1102,Subsidies Pension Insurance,105328949000,29.553577160493827
2019,1501,Subsidies Statutory Health Insurance,14500280000,4.068540965207632
2019,1502,Subsidies Long-term Care Insurance,77725000,0.021808361391694724
2019,0,Total Federal Budget,356400000000,100.0
2019,99,Other Federal Budget,123778198000,34.730134118967456
2020,14,Ministry of Defense,45645981000,8.976068810510004
2020,17,Ministry of Education & Family,13628263000,2.6799342193067885
2020,32,Federal Debt Service,16732027000,3.2902749026537794
2020,97,Other Health Expenses,9867819000,1.9404604833371424
2020,98,Other Labour & Social Expenses,60780426000,11.952186680095917
2020,1102,Subsidies Pension Insurance,109901960000,21.611706743029973
2020,1501,Subsidies Statutory Health Insurance,29500280000,5.80109217521937
2020,1502,Subsidies Long-term Care Insurance,1882255000,0.3701366479324107
2020,0,Total Federal Budget,508529758000,100.0
2020,99,Other Federal Budget,220590747000,43.37813933791462
2021,14,Ministry of Defense,46930012000,8.194151380463424
2021,17,Ministry of Education & Family,13206591000,2.3059189900455563
2021,32,Federal Debt Service,15273596000,2.666825607205057
2021,97,Other Health Expenses,14326428000,2.501446617429159
2021,98,Other Labour & Social Expenses,50251075000,8.774021101486635
2021,1102,Subsidies Pension Insurance,114669405000,20.021696633652457
2021,1501,Subsidies Statutory Health Insurance,35485080000,6.195824481524851
2021,1502,Subsidies Long-term Care Insurance,84915000,0.01482646892295812
2021,0,Total Federal Budget,572725714000,100.0
2021,99,Other Federal Budget,282498612000,49.3252887192699
2022,14,Ministry of Defense,50404828000,10.166537857473246
2022,17,Ministry of Education & Family,12599961000,2.5413831490345813
2022,32,Federal Debt Service,18463298000,3.7240047340467077
2022,97,Other Health Expenses,10843991000,2.18720803942827
2022,98,Other Labour & Social Expenses,44295820000,8.934364996897132
2022,1102,Subsidies Pension Insurance,116785160000,23.55529812205827
2022,1501,Subsidies Statutory Health Insurance,50230480000,10.131372266939442
2022,1502,Subsidies Long-term Care Insurance,3282565000,0.6620858093616877
2022,0,Total Federal Budget,495791475000,100.0
2022,99,Other Federal Budget,188885372000,38.09774502476066
2023,14,Ministry of Defense,50117445000,10.866471099821123
2023,17,Ministry of Education & Family,13569256000,2.942087893149269
2023,32,Federal Debt Service,40530467000,8.78782125301387
2023,97,Other Health Expenses,4650719000,1.0083695129887207
2023,98,Other Labour & Social Expenses,45179870000,9.795905430707318
2023,1102,Subsidies Pension Insurance,121049523000,26.245973698911275
2023,1501,Subsidies Statutory Health Insurance,18750080000,4.065394842840333
2023,1502,Subsidies Long-term Care Insurance,1082693000,0.23474964045909824
2023,0,Total Federal Budget,461211782000,100.0
2023,99,Other Federal Budget,166281729000,36.053226628108995
2024,14,Ministry of Defense,51951938000,10.895785196871923
2024,17,Ministry of Education & Family,13873295000,2.909620855584584
2024,32,Federal Debt Service,39571791000,8.299319547838804
2024,97,Other Health Expenses,1978337000,0.4149130105410891
2024,98,Other Labour & Social Expenses,48374468000,10.145488939045055
2024,1102,Subsidies Pension Insurance,127301030000,26.698612825965196
2024,1501,Subsidies Statutory Health Insurance,14650580000,3.0726394208737284
2024,1502,Subsidies Long-term Care Insurance,79610000,0.016696460092075368
2024,0,Total Federal Budget,476807656000,100.0
2024,99,Other Federal Budget,179026607000,37.54692374318755
2025,14,Ministry of Defense,62307220000,12.39830846574912
2025,17,Ministry of Education & Family,14198983000,2.825408855248683
2025,32,Federal Debt Service,34171970000,6.79976774669653
2025,97,Other Health Expenses,1901592000,0.37839152817283134
2025,98,Other Labour & Social Expenses,55918513000,11.127040704432043
2025,1102,Subsidies Pension Insurance,134422809000,26.748351969715177
2025,1501,Subsidies Statutory Health Insurance,16800000000,3.342976660242348
2025,1502,Subsidies Long-term Care Insurance,581025000,0.1156162508343637
2025,0,Total Federal Budget,502546135000,100.0
2025,99,Other Federal Budget,182244023000,36.26413781890891
2026,14,Ministry of Defense,82687312000,15.763772113851084
2026,17,Ministry of Education & Family,16664014000,3.176880622241343
2026,32,Federal Debt Service,33649367000,6.4150223333338126
2026,97,Other Health Expenses,1692896000,0.322739077023692
2026,98,Other Labour & Social Expenses,57331406000,10.929841559617694
2026,1102,Subsidies Pension Insurance,140009634000,26.691881870820723
2026,1501,Subsidies Statutory Health Insurance,16800000000,3.2028054257308334
2026,1502,Subsidies Long-term Care Insurance,3281049000,0.6255096154338526
2026,0,Total Federal Budget,524540138000,100.0
2026,99,Other Federal Budget,172424460000,32.87154738194696
