year,Youth_Dependency_Ratio,Old_Age_Dependency_Ratio,Total_Dependency_Ratio,Scenario
2044,29.6,52.0,81.7,Baseline (Retirement 65)
2045,29.8,52.5,82.2,Baseline (Retirement 65)
2046,29.9,52.9,82.8,Baseline (Retirement 65)
2047,30.1,53.3,83.4,Baseline (Retirement 65)
2048,30.3,53.7,84.0,Baseline (Retirement 65)
2049,30.5,54.1,84.6,Baseline (Retirement 65)
2050,30.7,54.5,85.2,Baseline (Retirement 65)
2051,30.9,55.0,85.9,Baseline (Retirement 65)
2052,31.0,55.6,86.7,Baseline (Retirement 65)
2053,31.3,56.3,87.6,Baseline (Retirement 65)
2054,31.4,57.0,88.4,Baseline (Retirement 65)
2055,31.6,57.7,89.3,Baseline (Retirement 65)
2056,31.7,58.1,89.8,Baseline (Retirement 65)
2057,31.8,58.4,90.2,Baseline (Retirement 65)
2058,31.9,58.7,90.6,Baseline (Retirement 65)
2059,31.9,58.9,90.9,Baseline (Retirement 65)
2060,31.9,59.2,91.1,Baseline (Retirement 65)
2061,32.0,59.6,91.6,Baseline (Retirement 65)
2062,32.0,60.1,92.1,Baseline (Retirement 65)
2063,32.0,60.6,92.6,Baseline (Retirement 65)
2064,32.0,61.1,93.1,Baseline (Retirement 65)
2065,32.0,61.5,93.5,Baseline (Retirement 65)
2066,31.9,61.7,93.7,Baseline (Retirement 65)
2067,31.8,61.9,93.7,Baseline (Retirement 65)
2068,31.7,62.0,93.7,Baseline (Retirement 65)
2069,31.6,62.2,93.8,Baseline (Retirement 65)
2070,31.5,62.3,93.8,Baseline (Retirement 65)
1950,50.8,16.2,67.0,Retirement at 70
1951,50.9,16.7,67.5,Retirement at 70
1952,51.1,17.1,68.2,Retirement at 70
1953,51.4,17.4,68.8,Retirement at 70
1954,50.9,17.7,68.6,Retirement at 70
1955,50.2,18.0,68.2,Retirement at 70
1956,49.6,18.2,67.8,Retirement at 70
1957,49.6,18.6,68.2,Retirement at 70
1958,48.9,18.9,67.8,Retirement at 70
1959,48.1,19.0,67.2,Retirement at 70
1960,47.3,19.2,66.4,Retirement at 70
1961,46.8,19.7,66.5,Retirement at 70
1962,47.3,20.0,67.3,Retirement at 70
1963,47.8,20.5,68.3,Retirement at 70
1964,48.6,21.0,69.6,Retirement at 70
1965,50.1,21.7,71.7,Retirement at 70
1966,51.5,22.4,73.9,Retirement at 70
1967,52.6,23.2,75.9,Retirement at 70
1968,53.3,23.6,76.9,Retirement at 70
1969,53.3,23.9,77.2,Retirement at 70
1970,53.4,24.5,77.9,Retirement at 70
1971,53.3,24.9,78.2,Retirement at 70
1972,52.9,25.3,78.2,Retirement at 70
1973,52.3,25.6,77.9,Retirement at 70
1974,51.8,26.2,78.0,Retirement at 70
1975,51.2,26.6,77.7,Retirement at 70
1976,50.4,26.8,77.2,Retirement at 70
1977,49.5,27.2,76.7,Retirement at 70
1978,48.7,27.4,76.1,Retirement at 70
1979,47.6,27.4,75.0,Retirement at 70
1980,46.3,26.8,73.1,Retirement at 70
1981,44.8,25.8,70.6,Retirement at 70
1982,43.1,24.8,67.9,Retirement at 70
1983,41.2,23.8,65.0,Retirement at 70
1984,39.5,23.5,63.0,Retirement at 70
1985,38.2,23.7,61.8,Retirement at 70
1986,37.0,23.7,60.7,Retirement at 70
1987,35.8,23.8,59.7,Retirement at 70
1988,35.0,23.7,58.7,Retirement at 70
1989,34.5,23.5,58.0,Retirement at 70
1990,34.2,23.5,57.7,Retirement at 70
1991,33.9,23.5,57.5,Retirement at 70
1992,33.9,23.6,57.5,Retirement at 70
1993,34.0,23.9,57.9,Retirement at 70
1994,34.1,24.3,58.4,Retirement at 70
1995,34.3,24.6,58.9,Retirement at 70
1996,34.3,24.8,59.2,Retirement at 70
1997,34.3,25.1,59.4,Retirement at 70
1998,34.2,25.3,59.5,Retirement at 70
1999,34.2,25.8,60.0,Retirement at 70
2000,34.0,26.5,60.5,Retirement at 70
2001,33.8,27.5,61.2,Retirement at 70
2002,33.5,28.2,61.7,Retirement at 70
2003,33.3,29.2,62.5,Retirement at 70
2004,33.1,30.4,63.5,Retirement at 70
2005,32.9,31.6,64.5,Retirement at 70
2006,32.5,32.6,65.1,Retirement at 70
2007,32.0,33.1,65.1,Retirement at 70
2008,31.5,33.6,65.0,Retirement at 70
2009,30.9,34.0,64.9,Retirement at 70
2010,30.2,33.8,64.0,Retirement at 70
2011,30.2,33.9,64.2,Retirement at 70
2012,30.0,34.0,64.0,Retirement at 70
2013,29.8,34.2,64.0,Retirement at 70
2014,29.9,34.6,64.5,Retirement at 70
2015,30.3,34.7,65.0,Retirement at 70
2016,30.6,35.1,65.7,Retirement at 70
2017,30.6,35.5,66.1,Retirement at 70
2018,30.7,35.9,66.5,Retirement at 70
2019,30.8,36.3,67.1,Retirement at 70
2020,31.0,36.8,67.8,Retirement at 70
2021,31.3,37.3,68.6,Retirement at 70
2022,31.5,37.6,69.1,Retirement at 70
2023,31.7,38.0,69.7,Retirement at 70
2024,31.8,38.8,70.6,Retirement at 70
2025,28.6,25.6,54.1,Retirement at 70
2026,28.5,26.0,54.5,Retirement at 70
2027,28.4,26.6,55.0,Retirement at 70
2028,28.3,27.1,55.4,Retirement at 70
2029,28.3,27.8,56.1,Retirement at 70
2030,28.3,28.6,56.9,Retirement at 70
2031,28.3,29.5,57.8,Retirement at 70
2032,28.3,30.4,58.7,Retirement at 70
2033,28.3,31.4,59.8,Retirement at 70
2034,28.3,32.4,60.7,Retirement at 70
2035,28.2,33.4,61.6,Retirement at 70
2036,28.1,34.3,62.4,Retirement at 70
2037,27.9,35.2,63.1,Retirement at 70
2038,27.7,36.0,63.8,Retirement at 70
2039,27.6,36.7,64.3,Retirement at 70
2040,27.4,37.2,64.6,Retirement at 70
2041,27.1,37.5,64.7,Retirement at 70
2042,27.0,37.6,64.6,Retirement at 70
2043,26.9,37.6,64.4,Retirement at 70
2044,26.8,37.5,64.3,Retirement at 70
2045,26.8,37.4,64.2,Retirement at 70
2046,26.9,37.4,64.2,Retirement at 70
2047,27.0,37.4,64.3,Retirement at 70
2048,27.1,37.4,64.5,Retirement at 70
2049,27.2,37.5,64.7,Retirement at 70
2050,27.3,37.7,65.0,Retirement at 70
2051,27.4,37.9,65.3,Retirement at 70
2052,27.6,38.1,65.6,Retirement at 70
2053,27.7,38.3,65.9,Retirement at 70
2054,27.7,38.5,66.2,Retirement at 70
2055,27.8,38.7,66.6,Retirement at 70
2056,27.9,39.1,67.0,Retirement at 70
2057,28.0,39.5,67.5,Retirement at 70
2058,28.1,40.0,68.2,Retirement at 70
2059,28.2,40.5,68.7,Retirement at 70
2060,28.3,41.1,69.4,Retirement at 70
2061,28.3,41.4,69.8,Retirement at 70
2062,28.3,41.7,70.1,Retirement at 70
2063,28.3,42.0,70.3,Retirement at 70
2064,28.3,42.3,70.5,Retirement at 70
2065,28.2,42.5,70.8,Retirement at 70
2066,28.2,42.9,71.1,Retirement at 70
2067,28.2,43.3,71.5,Retirement at 70
2068,28.2,43.8,71.9,Retirement at 70
2069,28.1,44.1,72.2,Retirement at 70
2070,28.1,44.5,72.5,Retirement at 70
1950,50.8,16.2,67.0,Retirement at 75
1951,50.9,16.7,67.5,Retirement at 75
1952,51.1,17.1,68.2,Retirement at 75
1953,51.4,17.4,68.8,Retirement at 75
1954,50.9,17.7,68.6,Retirement at 75
1955,50.2,18.0,68.2,Retirement at 75
1956,49.6,18.2,67.8,Retirement at 75
1957,49.6,18.6,68.2,Retirement at 75
1958,48.9,18.9,67.8,Retirement at 75
1959,48.1,19.0,67.2,Retirement at 75
1960,47.3,19.2,66.4,Retirement at 75
1961,46.8,19.7,66.5,Retirement at 75
1962,47.3,20.0,67.3,Retirement at 75
1963,47.8,20.5,68.3,Retirement at 75
1964,48.6,21.0,69.6,Retirement at 75
1965,50.1,21.7,71.7,Retirement at 75
1966,51.5,22.4,73.9,Retirement at 75
1967,52.6,23.2,75.9,Retirement at 75
1968,53.3,23.6,76.9,Retirement at 75
1969,53.3,23.9,77.2,Retirement at 75
1970,53.4,24.5,77.9,Retirement at 75
1971,53.3,24.9,78.2,Retirement at 75
1972,52.9,25.3,78.2,Retirement at 75
1973,52.3,25.6,77.9,Retirement at 75
1974,51.8,26.2,78.0,Retirement at 75
1975,51.2,26.6,77.7,Retirement at 75
1976,50.4,26.8,77.2,Retirement at 75
1977,49.5,27.2,76.7,Retirement at 75
1978,48.7,27.4,76.1,Retirement at 75
1979,47.6,27.4,75.0,Retirement at 75
1980,46.3,26.8,73.1,Retirement at 75
1981,44.8,25.8,70.6,Retirement at 75
1982,43.1,24.8,67.9,Retirement at 75
1983,41.2,23.8,65.0,Retirement at 75
1984,39.5,23.5,63.0,Retirement at 75
1985,38.2,23.7,61.8,Retirement at 75
1986,37.0,23.7,60.7,Retirement at 75
1987,35.8,23.8,59.7,Retirement at 75
1988,35.0,23.7,58.7,Retirement at 75
1989,34.5,23.5,58.0,Retirement at 75
1990,34.2,23.5,57.7,Retirement at 75
1991,33.9,23.5,57.5,Retirement at 75
1992,33.9,23.6,57.5,Retirement at 75
1993,34.0,23.9,57.9,Retirement at 75
1994,34.1,24.3,58.4,Retirement at 75
1995,34.3,24.6,58.9,Retirement at 75
1996,34.3,24.8,59.2,Retirement at 75
1997,34.3,25.1,59.4,Retirement at 75
1998,34.2,25.3,59.5,Retirement at 75
1999,34.2,25.8,60.0,Retirement at 75
2000,34.0,26.5,60.5,Retirement at 75
2001,33.8,27.5,61.2,Retirement at 75
2002,33.5,28.2,61.7,Retirement at 75
2003,33.3,29.2,62.5,Retirement at 75
2004,33.1,30.4,63.5,Retirement at 75
2005,32.9,31.6,64.5,Retirement at 75
2006,32.5,32.6,65.1,Retirement at 75
2007,32.0,33.1,65.1,Retirement at 75
2008,31.5,33.6,65.0,Retirement at 75
2009,30.9,34.0,64.9,Retirement at 75
2010,30.2,33.8,64.0,Retirement at 75
2011,30.2,33.9,64.2,Retirement at 75
2012,30.0,34.0,64.0,Retirement at 75
2013,29.8,34.2,64.0,Retirement at 75
2014,29.9,34.6,64.5,Retirement at 75
2015,30.3,34.7,65.0,Retirement at 75
2016,30.6,35.1,65.7,Retirement at 75
2017,30.6,35.5,66.1,Retirement at 75
2018,30.7,35.9,66.5,Retirement at 75
2019,30.8,36.3,67.1,Retirement at 75
2020,31.0,36.8,67.8,Retirement at 75
2021,31.3,37.3,68.6,Retirement at 75
2022,31.5,37.6,69.1,Retirement at 75
2023,31.7,38.0,69.7,Retirement at 75
2024,31.8,38.8,70.6,Retirement at 75
2025,26.4,15.9,42.3,Retirement at 75
2026,26.3,16.2,42.4,Retirement at 75
2027,26.1,16.4,42.5,Retirement at 75
2028,26.0,16.7,42.6,Retirement at 75
2029,25.9,16.9,42.8,Retirement at 75
2030,25.8,17.2,43.0,Retirement at 75
2031,25.7,17.6,43.3,Retirement at 75
2032,25.6,18.0,43.6,Retirement at 75
2033,25.6,18.4,44.0,Retirement at 75
2034,25.4,19.0,44.4,Retirement at 75
2035,25.3,19.6,44.9,Retirement at 75
2036,25.1,20.2,45.4,Retirement at 75
2037,25.0,20.9,45.9,Retirement at 75
2038,24.8,21.7,46.5,Retirement at 75
2039,24.7,22.4,47.1,Retirement at 75
2040,24.6,23.2,47.8,Retirement at 75
2041,24.4,23.9,48.3,Retirement at 75
2042,24.4,24.5,48.9,Retirement at 75
2043,24.4,25.1,49.5,Retirement at 75
2044,24.5,25.6,50.1,Retirement at 75
2045,24.6,26.0,50.5,Retirement at 75
2046,24.7,26.2,50.9,Retirement at 75
2047,24.8,26.2,51.0,Retirement at 75
2048,24.9,26.0,50.9,Retirement at 75
2049,24.9,25.9,50.8,Retirement at 75
2050,24.9,25.7,50.6,Retirement at 75
2051,25.0,25.5,50.5,Retirement at 75
2052,25.0,25.4,50.4,Retirement at 75
2053,25.1,25.3,50.4,Retirement at 75
2054,25.1,25.3,50.4,Retirement at 75
2055,25.2,25.4,50.5,Retirement at 75
2056,25.2,25.5,50.7,Retirement at 75
2057,25.2,25.6,50.9,Retirement at 75
2058,25.3,25.8,51.0,Retirement at 75
2059,25.3,25.9,51.2,Retirement at 75
2060,25.3,26.1,51.4,Retirement at 75
2061,25.3,26.4,51.7,Retirement at 75
2062,25.3,26.8,52.1,Retirement at 75
2063,25.4,27.3,52.6,Retirement at 75
2064,25.4,27.7,53.1,Retirement at 75
2065,25.4,28.2,53.6,Retirement at 75
2066,25.4,28.5,53.9,Retirement at 75
2067,25.3,28.8,54.1,Retirement at 75
2068,25.3,29.1,54.3,Retirement at 75
2069,25.2,29.3,54.5,Retirement at 75
2070,25.2,29.5,54.6,Retirement at 75
